CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD42d,GP5,2814,CD42d GPV,3q29,glycoprotein V platelet,platelet glycoprotein V; glycoprotein 5
CD43,SPN,6693,CD43 GALGP GPL115 LSN,16p11.2,sialophorin,"leukosialin; galactoglycoprotein; leukocyte sialoglycoprotein; sialophorin (gpL115, leukosialin, CD43)"
CD44,CD44,960,CDW44 CSPG8 ECMR-III HCELL HUTCH-I IN LHR MC56 MDU2 MDU3 MIC4 Pgp1,11p13,CD44 molecule (Indian blood group),CD44 antigen; GP90 lymphocyte homing/adhesion receptor; Hermes antigen; cell surface glycoprotein CD44; chondroitin sulfate proteoglycan 8; epican; extracellular matrix receptor III; hematopoietic cell E- and L-selectin ligand; heparan sulfate proteoglycan; homing function and Indian blood group system; hyaluronate receptor; phagocytic glycoprotein 1; soluble CD44
CD45 CD45RA CD45RB CD45RC CD45RO,PTPRC,5788,B220 CD45 CD45R GP180 L-CA LCA LY5 T200,1q31.3-q32.1,"protein tyrosine phosphatase, receptor type C","receptor-type tyrosine-protein phosphatase C; CD45 antigen; T200 glycoprotein; T200 leukocyte common antigen; protein tyrosine phosphatase, receptor type, c polypeptide"
CD46,CD46,4179,AHUS2 MCP MIC10 TLX TRA2.10,1q32.2,CD46 molecule,"membrane cofactor protein; CD46 antigen, complement regulatory protein; CD46 molecule, complement regulatory protein; antigen identified by monoclonal antibody TRA-2-10; complement membrane cofactor protein; measles virus receptor; membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen); trophoblast leucocyte common antigen; trophoblast leukocyte common antigen; trophoblast-lymphocyte cross-reactive antigen"
CD47,CD47,961,IAP MER6 OA3,3q13.12,CD47 molecule,"leukocyte surface antigen CD47; CD47 antigen (Rh-related antigen, integrin-associated signal transducer); CD47 glycoprotein; Rh-related antigen; antigen identified by monoclonal antibody 1D8; antigenic surface determinant protein OA3; integrin associated protein; integrin-associated signal transducer"
CD48,CD48,962,BCM1 BLAST BLAST1 MEM-102 SLAMF2 hCD48 mCD48,1q23.3,CD48 molecule,CD48 antigen; B-lymphocyte activation marker BLAST-1; BCM1 surface antigen; CD48 antigen (B-cell membrane protein); SLAM family member 2; TCT.1; leukocyte antigen MEM-102; signaling lymphocytic activation molecule 2
CD49a,ITGA1,3672,CD49a VLA1,5q11.2,integrin subunit alpha 1,integrin alpha-1; CD49 antigen-like family member A; VLA-1; laminin and collagen receptor; very late activation protein 1
CD49b,ITGA2,3673,BR CD49B GPIa HPA-5 VLA-2 VLAA2,5q11.2,integrin subunit alpha 2,"integrin alpha-2; CD49 antigen-like family member B; alpha 2 subunit of VLA-2 receptor; collagen receptor; human platelet alloantigen system 5; integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor); platelet antigen Br; platelet glycoprotein GPIa; platelet membrane glycoprotein Ia; very late activation protein 2 receptor, alpha-2 subunit"
CD49c,ITGA3,3675,CD49C FRP-2 GAP-B3 GAPB3 ILNEB MSK18 VCA-2 VL3A VLA3a,17q21.33,integrin subunit alpha 3,"integrin alpha-3; CD49 antigen-like family member C; alpha 3 subunit of VLA-3 receptor; antigen CD49C; antigen identified by monoclonal antibody J143; galactoprotein B3; integrin alpha 3; integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor); testicular tissue protein Li 96; testicular tissue protein Li 98; very late activation protein 3 receptor, alpha-3 subunit"
CD49d,ITGA4,3676,CD49D IA4,2q31.3,integrin subunit alpha 4,"integrin alpha-4; 269C wild type; CD49 antigen-like family member D; VLA-4 subunit alpha; alpha 4 subunit of VLA-4 receptor; antigen CD49D, alpha-4 subunit of VLA-4 receptor; integrin alpha-IV; very late activation protein 4 receptor, alpha 4 subunit"
CD49e,ITGA5,3678,CD49e FNRA VLA-5 VLA5A,12q13.13,integrin subunit alpha 5,"integrin alpha-5; CD49 antigen-like family member E; fibronectin receptor subunit alpha; fibronectin receptor, alpha polypeptide; fibronectin receptor, alpha subunit; integrin alpha-F; integrin, alpha 5 (fibronectin receptor, alpha polypeptide); very late activation protein 5, alpha subunit"
CD49f,ITGA6,3655,CD49f ITGA6B VLA-6,2q31.1,integrin subunit alpha 6,"integrin alpha-6; CD49 antigen-like family member F; integrin alpha6B; integrin, alpha 6"
CD50,ICAM3,3385,CD50 CDW50 ICAM-R,19p13.2,intercellular adhesion molecule 3,intercellular adhesion molecule 3; ICAM-3
CD51,ITGAV,3685,CD51 MSK8 VNRA VTNR,2q32.1,integrin subunit alpha V,"integrin alpha-V; antigen identified by monoclonal antibody L230; integrin alphaVbeta3; integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51); vitronectin receptor subunit alpha"
CD52,CD52,1043,CDW52,1p36.11,CD52 molecule,CAMPATH-1 antigen; CD52 antigen (CAMPATH-1 antigen); CDW52 antigen (CAMPATH-1 antigen); HEL-S-171mP; cambridge pathology 1 antigen; epididymal secretory protein E5; epididymis secretory sperm binding protein Li 171mP; he5; human epididymis-specific protein 5
CD53,CD53,963,MOX44 TSPAN25,1p13.3,CD53 molecule,leukocyte surface antigen CD53; CD53 antigen; CD53 glycoprotein; CD53 tetraspan antigen; antigen MOX44 identified by monoclonal antibody MRC-OX44; cell surface antigen; cell surface glycoprotein CD53; tetraspanin-25; transmembrane glycoprotein; tspan-25
CD54,ICAM1,3383,BB2 CD54 P3.58,19p13.2,intercellular adhesion molecule 1,"intercellular adhesion molecule 1; ICAM-1; cell surface glycoprotein P3.58; intercellular adhesion molecule 1 (CD54), human rhinovirus receptor; major group rhinovirus receptor"
CD55,CD55,1604,CR CROM DAF TC,1q32.2,CD55 molecule (Cromer blood group),"complement decay-accelerating factor; CD55 antigen; CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
CD56,NCAM1,4684,CD56 MSK39 NCAM,11q23.2,neural cell adhesion molecule 1,"neural cell adhesion molecule 1; antigen recognized by monoclonal antibody 5.1H11; neural cell adhesion molecule, NCAM"
CD57,B3GAT1,27087,CD57 GLCATP GLCUATP HNK1 LEU7 NK-1 NK1,11q25,"beta-1,3-glucuronyltransferase 1","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1; LEU7 antigen; UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase; glcUAT-P; glucuronosyltransferase P"
CD58,CD58,965,LFA-3 LFA3 ag3,1p13.1,CD58 molecule,"lymphocyte function-associated antigen 3; CD58 antigen, (lymphocyte function-associated antigen 3); surface glycoprotein LFA-3"
CD59,CD59,966,16.3A5 1F5 EJ16 EJ30 EL32 G344 HRF-20 HRF20 MAC-IP MACIF MEM43 MIC11 MIN1 MIN2 MIN3 MIRL MSK21 p18-20,11p13,CD59 molecule,"CD59 glycoprotein; 1F5 antigen; 20 kDa homologous restriction factor; CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344); CD59 molecule, complement regulatory protein; Ly-6-like protein; MEM43 antigen; T cell-activating protein; human leukocyte antigen MIC11; lymphocytic antigen CD59/MEM43; membrane attack complex (MAC) inhibition factor; membrane attack complex inhibition factor; membrane inhibitor of reactive lysis; protectin; surface anitgen recognized by monoclonal antibody 16.3A5"
CD60a,"-",-,-,-,-,-
CD60b,"-",-,-,-,-,-
CD60c,"-",-,-,-,-,-
CD61,ITGB3,3690,BDPLT16 BDPLT2 CD61 GP3A GPIIIa GT,17q21.32,integrin subunit beta 3,"integrin beta-3; antigen CD61; integrin beta 3; integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61); platelet membrane glycoprotein IIIa"
CD62E,SELE,6401,CD62E ELAM ELAM1 ESEL LECAM2,1q24.2,selectin E,E-selectin; CD62 antigen-like family member E; ELAM-1; endothelial adhesion molecule 1; endothelial leukocyte adhesion molecule 1; leukocyte endothelial cell adhesion molecule 2
CD62L,SELL,6402,CD62L LAM1 LECAM1 LEU8 LNHR LSEL LYAM1 PLNHR TQ1,1q24.2,selectin L,L-selectin; CD62 antigen-like family member L; gp90-MEL; leukocyte surface antigen Leu-8; leukocyte-endothelial cell adhesion molecule 1; lymph node homing receptor; lymphocyte adhesion molecule 1; pln homing receptor
CD62P,SELP,6403,CD62 CD62P GMP140 GRMP LECAM3 PADGEM PSEL,1q24.2,selectin P,"P-selectin; CD62 antigen-like family member P; GMP-140; granule membrane protein 140; granule membrane protein 140kDa; granulocyte membrane protein; leukocyte-endothelial cell adhesion molecule 3; platelet activation dependent granule-external membrane protein; platelet alpha-granule membrane protein; selectin P (granule membrane protein 140kDa, antigen CD62)"
CD63,CD63,967,LAMP-3 ME491 MLA1 OMA81H TSPAN30,12q13.2,CD63 molecule,CD63 antigen; CD63 antigen (melanoma 1 antigen); granulophysin; lysosomal-associated membrane protein 3; lysosome-associated membrane glycoprotein 3; melanoma-associated antigen ME491; melanoma-associated antigen MLA1; ocular melanoma-associated antigen; tetraspanin-30; tspan-30
CD64a,FCGR1A,2209,CD64 CD64A FCRI IGFR1,1q21.2,Fc fragment of IgG receptor Ia,"high affinity immunoglobulin gamma Fc receptor I; Fc fragment of IgG, high affinity Ia, receptor (CD64); Fc fragment of IgG, high affinity Ia, receptor for (CD64); Fc gamma receptor Ia; Fc-gamma RI; Fc-gamma receptor I A1; IgG Fc receptor I; fc-gamma RIA; fcgammaRIa"
CD65,"-",-,-,-,-,-
CD65s,"-",-,-,-,-,-
CD66a,CEACAM1,634,BGP BGP1 BGPI,19q13.2,carcinoembryonic antigen related cell adhesion molecule 1,carcinoembryonic antigen-related cell adhesion molecule 1; CD66a antigen; antigen CD66; carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
CD66b,CEACAM8,1088,CD66b CD67 CGM6 NCA-95,19q13.2,carcinoembryonic antigen related cell adhesion molecule 8,carcinoembryonic antigen-related cell adhesion molecule 8; CD67 antigen; carcinoembryonic antigen CGM6; carcinoembryonic antigen gene family member 6; non-specific cross-reacting antigen NCA-95
CD66c,CEACAM6,4680,CD66c CEAL NCA,19q13.2,carcinoembryonic antigen related cell adhesion molecule 6,carcinoembryonic antigen-related cell adhesion molecule 6; Cluster of Differentiation 66c; carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen); normal cross-reacting antigen
CD66d,CEACAM3,1084,CD66D CEA CGM1 W264 W282,19q13.2,carcinoembryonic antigen related cell adhesion molecule 3,carcinoembryonic antigen-related cell adhesion molecule 3; CD66d antigen; carcinoembryonic antigen CGM1; carcinoembryonic antigen gene family member 1; nonspecific cross-reacting antigen
CD66e,CEACAM5,1048,CD66e CEA,19q13.2,carcinoembryonic antigen related cell adhesion molecule 5,carcinoembryonic antigen-related cell adhesion molecule 5; meconium antigen 100
CD66f,PSG1,5669,B1G1 CD66f DHFRP2 FL-NCA-1/2 PBG1 PS-beta-C/D PS-beta-G-1 PSBG-1 PSBG1 PSG95 PSGGA PSGIIA SP1,19q13.2,pregnancy specific beta-1-glycoprotein 1,pregnancy-specific beta-1-glycoprotein 1; CD66 antigen-like family member F; fetal liver non-specific cross-reactive antigen 1/2; pregnancy-specific B-1 glycoprotein; pregnancy-specific beta-1 glycoprotein C/D
CD68,CD68,968,GP110 LAMP4 SCARD1,17p13.1,CD68 molecule,"macrosialin; CD68 antigen; macrophage antigen CD68; scavenger receptor class D, member 1"
CD69,CD69,969,AIM BL-AC/P26 CLEC2C EA1 GP32/28 MLR-3,12p13.31,CD69 molecule,"early activation antigen CD69; C-type lectin domain family 2, member C; CD69 antigen (p60, early T-cell activation antigen); activation inducer molecule (AIM/CD69); early T-cell activation antigen p60; early lymphocyte activation antigen; leukocyte surface antigen Leu-23"
CD70,CD70,970,CD27-L CD27L CD27LG TNFSF7 TNLG8A,19p13.3,CD70 molecule,CD70 antigen; CD27 ligand; Ki-24 antigen; surface antigen CD70; tumor necrosis factor ligand 8A; tumor necrosis factor ligand superfamily member 7
CD71,TFRC,7037,CD71 IMD46 T9 TFR TFR1 TR TRFR p90,3q29,transferrin receptor,transferrin receptor protein 1
CD72,CD72,971,CD72b LYB2,9p13.3,CD72 molecule,B-cell differentiation antigen CD72; CD72 antigen; lyb-2
CD73,NT5E,4907,CALJA CD73 E5NT NT NT5 NTE eN eNT,6q14.3,5'-nucleotidase ecto,5'-nucleotidase; 5'-NT; Purine 5-Prime-Nucleotidase; ecto-5'-nucleotidase
